title,company,location,category,description
Associate Director HRBP - International voice process,Sagility,"Hyderabad, Telangana",HR & Recruitment Jobs,"Shift timings: 6 pm Onwards Location: Hyderabad Mandatory requirement: people from BPM industry who has handled contact center employees/International voice process Duties and responsibilities Work with business leaders to identify critical skills and competencies required for success and develop strategies to address talent gaps. Guide and support performance management processes, including goal setting, performance reviews, talent calibration sessions, and career development plans. Drive succ…"
Data Engineer,Hash Agile Technologies,"Coimbatore, Tamil Nadu",IT Jobs,"Role: Data Engineer Location: Coimbatore We are looking for a Senior Data Engineer with 5 years of hands-on experience in building, scaling, and operating batch and event-driven data platforms across cloud environments. Key Responsibilities - Design and build scalable batch and real-time data pipelines - Implement parallel and distributed data processing for large datasets - Develop event-driven architectures for near real-time ingestion and processing - Handle high-volume, high-velocity struct…"
SAP PLM Functional Consultant,Infosys,"Hyderabad, Telangana",IT Jobs,"About the Role We are seeking an experienced SAP PLM Functional Consultant with strong hands‑on expertise in Recipe Development (RD) and PLM processes for Process Industries / CPG / Retail . The role involves support, enhancements, and upgrades across SAP PLM modules. Key Responsibilities Provide support and enhancements for SAP PLM Recipe Development . Configure PLM components including Recipe Development, Specifications, Property Tree , and other PLM SPRO settings. Work on Engineering Change …"
"Manager, Treasury - Equity Investments, ACG Group",ACG World,"Mumbai, Maharashtra",Accounting & Finance Jobs,"Position Title: Manager, Treasury - Equity Investments, ACG Group Department: Corporate Finance Business Unit: ACG Corporate Designation: Senior Manager / Manager Reports to: DGM, Treasury - Forex & Debt Investments, ACG Group Location: Jogeshwari West, Mumbai Job Objective ACG group has surplus cash balance and needs to deploy the funds in efficient manner. ACG Treasury is mandated to manage the funds and achieve targeted return on the investments. ACG Treasury has a dedicated investment desk …"
Finance Specialist,Capgemini,"Noida, Ghaziabad",Accounting & Finance Jobs,"Greetings from Capgemini! We are conducting a Walk-In Drive for Accounts Payable role for Noida location. Interested candidates kindly go through the JD mentioned below and walk-in as per the below mentioned schedule. Only diversity candidates should walk in for the drive! Interview Details : Walk-in Interview Date: 7th february, 2026 Time : 9:30AM – 02:00 PM Skill Set : Accounts Payable/ Procure To Pay/ PTP Educational Qualification : BBA/BCom/ M.com/MBA(Finance ). Experience Range: 1 To 9 Yrs…"
Senior Data Engineer,Quantiphi,"Chennai, Tamil Nadu",IT Jobs,"Required Skill s: ● Bachelor’s degree in computer science or similar field or equivalent work experience. ● 3 years of experience on Data Warehousing, Data Engineering or Data Integration projects. ● Expert with data warehousing concepts, strategies, and tools. ● Strong SQL background. ● Strong knowledge of relational databases like SQL Server, PostgreSQL, MySQL. ● Strong experience in GCP & Google BigQuery, Cloud SQL, Composer (Airflow), Dataflow, Dataproc, Cloud Function and GCS ● Good to hav…"
Oracle Billing - OCOMC,BT Group,"Bangalore, Karnataka",IT Jobs,"About the Company We are a leading telecommunications company dedicated to providing innovative solutions and exceptional service to our customers. Our mission is to connect people and businesses through advanced technology, fostering a culture of collaboration, integrity, and continuous improvement. About the Role Telecom mediation and rating platforms process billions of events every single day —usage records, network events, charging inputs, partner settlements, and more. These events must b…"
Online Business Manager,Isha LIFE,"Coimbatore, Tamil Nadu",Sales Jobs,"Dear Candidate, We have a requirement for Ecommerce Channel Lead for Isha Life. The role involves managing channel strategy, optimizing performance, coordinating with cross-functional teams, and ensuring seamless execution of ecommerce operations. Also,responsible for driving sales, visibility, and profitability across online marketplaces and brand-owned platforms. Please find below the Job responsibilities: 1.Channel Strategy & Planning Develop and execute ecommerce channel strategies across m…"
Senior Manager- Sales (MICE),Thomas Cook India Limited,"Bangalore, Karnataka",IT Jobs,Please find the JD. Role - Senior Manager- Sales (MICE) Location- Bangalore Job Role:- 1. Identify and pursue new business opportunities across industries and corporates. 2. Convert leads generated through various channels into confirmed business. 3. Retain and grow existing client relationships to ensure repeat business. Revenue & Profitability 4. Achieve assigned sales and revenue targets in alignment with business goals. 5. Optimize profitability through effective pricing and cost management…
Machine Learning Engineer,"Lytx, Inc.","Bangalore, Karnataka",IT Jobs,"Job Description Why Lytx?: As our Machine Learning Engineer, you will join our Applied Machine Learning Team in India, who develops machine learning and computer vision algorithms to monitor and assess the state of drivers and their environments to identify risk and improve safety for our clients. You will contribute to all aspects of the DL/ML model development and deployment cycle to improve the accuracy and throughput at reduced latency to help enhance and differentiate us as the leader in t…"
